,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_L4,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost
4032,,Towson University,Towson,1,3,4,1,2.0,0.6034,18534.0,True,16133.0,,21596.0,,6494.0,5906.0,6670.0,0.53,0.655,,0.8603,,1.0,,0.5047,0.1126,,,,15750.0,2013,16133.0,21596.0
4033,,Maryland University of Integrative Health,Laurel,1,4,4,2,2.0,,,True,,,,,13677.0,4515.0,5292.0,1.0,,,,,,,,,,,,,2013,,
4034,,International Beauty School,Cumberland,2,1,1,3,2.0,,193.0,False,,16144.0,,21577.0,27684.0,16333.0,,,,0.7883,,0.7257,,,1.0,0.5337,,,,13000.0,2013,16144.0,21577.0
4035,,Stevenson University,Stevenson,1,3,4,2,2.0,0.5959,3923.0,True,,25021.0,38785.0,,13905.0,8585.0,9724.0,0.2977,0.5613,,0.7477,,0.0,,0.6099,0.1654,,,,18197.5,2013,25021.0,38785.0
4036,,Washington College,Chestertown,1,3,4,2,2.0,0.6655,1424.0,True,,30255.0,52243.0,,20826.0,12924.0,7927.0,0.6218,0.6821,,0.8086,,,,0.6872,0.0182,,,,25000.0,2013,30255.0,52243.0
4037,,McDaniel College,Westminster,1,3,4,2,2.0,0.7587,1662.0,True,,20675.0,45866.0,,13869.0,8839.0,7035.0,0.3392,0.7175,,0.8421,,,,0.6629,0.0313,,,,22000.0,2013,20675.0,45866.0
4038,,Wor-Wic Community College,Salisbury,1,2,2,1,2.0,,3090.0,True,9239.0,,13127.0,,2652.0,5162.0,5748.0,0.3784,,0.1579,,0.466,,0.4125,0.1032,0.3888,,,,3500.0,2013,9239.0,13127.0
4039,,Hult International Business School,Cambridge,1,4,4,2,1.0,,,True,,,,,34997.0,10572.0,2740.0,0.7738,,,,,,,,,,,,,2013,,
4040,,New England College of Business and Finance,Boston,1,3,4,3,1.0,,918.0,True,,11406.0,14275.0,,9813.0,2099.0,4222.0,,1.0,,1.0,,1.0,,0.3215,0.8543,,,,12450.0,2013,11406.0,14275.0
4041,,American International College,Springfield,1,3,4,2,1.0,0.6779,1513.0,True,,19155.0,40803.0,,10357.0,4924.0,5700.0,0.1848,0.4487,,0.6482,,0.0,,0.8331,0.2102,,,,20726.0,2013,19155.0,40803.0
4042,,Amherst College,Amherst,1,3,3,2,1.0,0.1428,1785.0,True,,19449.0,59060.0,,22937.0,23275.0,11690.0,0.9149,0.9578,,0.9762,,,,0.1321,0.0123,,,,10453.0,2013,19449.0,59060.0
4043,,Andover Newton Theological School,Newton Centre,1,4,4,2,1.0,,,True,,,,,11386.0,11902.0,7293.0,1.0,,,,,,,,,,,,,2013,,
4044,,Anna Maria College,Paxton,1,3,4,2,1.0,0.7756,1135.0,True,,24684.0,42770.0,,15245.0,6758.0,3553.0,0.2604,0.469,,0.687,,0.0,,0.7888,0.2948,,,,18125.0,2013,24684.0,42770.0
4045,,Assabet Valley Regional Technical School,Marlborough,1,1,1,1,1.0,0.5098,46.0,True,15976.0,,,21764.0,11463.0,8470.0,,,,0.6829,,0.6923,,,0.7333,0.5652,,,,9500.0,2013,15976.0,21764.0
4046,,Assumption College,Worcester,1,3,4,2,1.0,0.7422,2181.0,True,,25663.0,46763.0,,13288.0,7971.0,7852.0,0.5474,0.7273,,0.8336,,,,0.7146,0.0781,,,,24931.0,2013,25663.0,46763.0
4047,,Babson College,Wellesley,1,3,4,2,1.0,0.2821,2106.0,True,,28057.0,58450.0,,33742.0,13960.0,14952.0,0.722,0.9073,,0.9489,,,,0.3737,0.009000000000000001,,,,27000.0,2013,28057.0,58450.0
4048,,Bancroft School of Massage Therapy,Worcester,1,1,1,3,1.0,,66.0,True,,,,,18545.0,6455.0,,,,0.8333,,,,,0.5811,0.6515,,,,7600.0,2013,,
4049,,Boston Baptist College,Boston,1,3,3,2,1.0,0.8065,83.0,True,,21380.0,31101.0,,16374.0,3571.0,5163.0,,0.3182,,0.7368,,,,0.75,0.1979,,,,22700.5,2013,21380.0,31101.0
4050,,Bay Path College,Longmeadow,1,3,4,2,1.0,0.5760000000000001,1454.0,True,,20836.0,40447.0,,14058.0,6148.0,7754.0,0.2182,0.555,,0.7226,,,,0.8832,0.5329,,,,18065.0,2013,20836.0,40447.0
4051,,Bay State College,Boston,1,2,3,3,1.0,0.5845,1196.0,True,,25440.0,32975.0,,17194.0,5835.0,7251.0,0.2061,0.2716,,0.8,,1.0,,0.8448,0.2973,,,,18000.0,2013,25440.0,32975.0
4052,,Bay State School of Technology,Canton,1,1,1,3,1.0,,200.0,True,,24489.0,,28929.0,10883.0,3551.0,,,,0.7986,,0.8,,0.9545,0.4484,0.77,,,,8505.0,2013,24489.0,28929.0
4053,,Becker College,Worcester,1,3,3,2,1.0,0.6255,1871.0,True,,28697.0,44041.0,,17590.0,5832.0,7308.0,0.2651,0.3069,,0.6407,,,,0.8154,0.2645,,,,15750.0,2013,28697.0,44041.0
4054,,Bentley University,Waltham,1,3,4,2,1.0,0.4379,4172.0,True,,29886.0,54806.0,,24563.0,13149.0,12158.0,0.6265,0.8727,,0.9355,,,,0.5074,0.0231,,,,26000.0,2013,29886.0,54806.0
4055,,Berklee College of Music,Boston,1,3,3,2,1.0,0.3617,4402.0,True,,43018.0,56335.0,,30454.0,20301.0,9480.0,0.3851,0.4963,,0.7986,,0.5,,0.418,0.1479,,,,21046.0,2013,43018.0,56335.0
4056,,Berkshire Community College,Pittsfield,1,2,2,1,1.0,,2024.0,True,9616.0,,13345.0,,3951.0,7966.0,6871.0,0.3454,,0.2471,,0.5917,,0.43200000000000005,0.3919,0.4721,,,,7177.0,2013,9616.0,13345.0
4057,,Empire Beauty School-Boston,Boston,10,1,1,3,1.0,,241.0,True,,14205.0,,18111.0,8966.0,7672.0,,,,0.5379,,0.6989,,0.85,0.5372,0.361,,,,6837.0,2013,14205.0,18111.0
4058,,Boston Architectural College,Boston,1,3,4,2,1.0,,423.0,True,,32772.0,36082.0,,33473.0,12819.0,6443.0,,0.0658,,0.75,,,,0.789,0.5882,,,,30853.0,2013,32772.0,36082.0
4059,,Boston Graduate School of Psychoanalysis Inc,Brookline,1,4,4,2,1.0,,,True,,,,,14568.0,7007.0,4837.0,,,,,,,,,,,,,6000.0,2013,,
4060,,Boston College,Chestnut Hill,1,3,4,2,1.0,0.3222,9465.0,True,,33070.0,58639.0,,27441.0,18302.0,13355.0,0.603,0.9129999999999999,,0.9484,,0.8182,,0.4131,0.024,,,,19000.0,2013,33070.0,58639.0
4061,,The Boston Conservatory,Boston,1,3,4,2,1.0,0.3645,545.0,True,,43952.0,59631.0,,48657.0,28999.0,6127.0,0.4718,0.6716,,0.8029,,,,0.5551,0.0165,,,,25852.5,2013,43952.0,59631.0
