,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost,PREDDEG_N,Governance,EnrollmentBins,TuitionBins,ExpenditureBins,Complete,RetentionFT,RetentionPT
3686,Other,grinnell college,Grinnell,1,3,3,2,4.0,0.3506,1661.0,True,15346.0,23516.0,9129.0,0.8313,0.4158,0.0017,0.3835605580215,0.193277310924,0.0234227067485,10022.5,2013,19368.0,53318.0,Bachelor,Private nonprofit,large,highest,highest,0.8568,0.9324,
2745,Other,grossmont college,El Cajon,1,2,2,1,8.0,,17042.0,True,482.0,4304.0,7678.0,0.2516,0.0256,0.3247,0.115118956255,0.289032258065,0.037419354839,3500.0,2013,2288.0,7759.0,Associates,Public,xl,low,med,0.2267,0.6914,0.5394
6629,Other,guam community college,Mangilao,1,2,2,1,9.0,,2162.0,True,2388.0,8255.0,5810.0,1.0,0.0,0.3058,0.115118956255,0.289032258065,0.037419354839,6560.25,2013,5119.0,9919.0,Associates,Public,xl,low,high,0.0833,0.6667,0.46299999999999997
5129,Other,guilford college,Greensboro,1,3,3,2,5.0,0.6818,2171.0,True,13264.0,7234.0,6361.0,0.6378,0.6649,0.3875,0.3835605580215,0.193277310924,0.0234227067485,18500.0,2013,28417.0,44255.0,Bachelor,Private nonprofit,xl,highest,high,0.5676,0.718,0.5882
5130,Other,guilford technical community college,Jamestown,1,2,2,1,5.0,,13419.0,True,504.0,4337.0,5521.0,0.6673,0.3843,0.4774,0.115118956255,0.289032258065,0.037419354839,9500.0,2013,12692.0,17563.0,Associates,Public,xl,low,med,0.096,0.4931,0.4308
3173,Other,gulf coast state college,Panama City,1,2,3,1,5.0,,3643.0,True,1080.0,4923.0,5049.0,0.4814,0.1821,0.4253,0.115118956255,0.289032258065,0.037419354839,5500.0,2013,5057.0,9810.0,Associates,Public,xl,low,med,0.3199,0.57855,
3324,Other,gupton jones college of funeral service,Decatur,1,2,2,2,5.0,,174.0,True,12606.0,3324.0,2990.0,0.5,0.9198,0.4253,0.615909090909,0.1862495060885,0.0,8000.0,2013,16485.0,19186.0,Associates,Private nonprofit,medium,highest,med,0.6752,0.6729,
9077,Other,gurnick academy of medical arts,San Mateo,1,1,1,3,8.0,,843.0,True,15071.0,5165.0,,0.42979999999999996,0.7502,0.6856,0.56462585034,0.21094177345850001,0.0,16850.0,2013,21727.0,24672.0,Certificate,Private for-profit,large,highest,med,0.6709999999999999,0.871,
4312,Other,gustavus adolphus college,Saint Peter,1,3,3,2,4.0,0.6322,2439.0,True,18703.0,14254.0,7179.0,0.8071,0.6884,0.0029,0.3835605580215,0.193277310924,0.0234227067485,26000.0,2013,23162.0,48422.0,Bachelor,Private nonprofit,xl,highest,highest,0.8228,0.9205,
3128,Other,guti the premier beauty & wellness academy,Bradenton,1,1,1,3,5.0,,129.0,True,11320.0,4722.0,,0.42979999999999996,0.2652,0.4961,0.56462585034,0.21094177345850001,0.0,4811.5,2013,12644.0,17221.0,Certificate,Private for-profit,small,highest,med,0.625,0.8214,
3899,Other,guy's shreveport academy of cosmetology inc,Shreveport,1,1,1,3,5.0,,62.0,True,11682.0,16425.0,,0.42979999999999996,0.8816,0.4677,0.56462585034,0.21094177345850001,0.0,9500.0,2013,12291.0,15999.0,Certificate,Private for-profit,small,highest,highest,0.7742,0.875,
3325,Other,gwinnett college-lilburn,Lilburn,1,2,2,3,5.0,,368.0,True,9180.0,3557.0,2233.0,0.129,0.8184,0.6304,0.339111592633,0.328495034377,0.010035842294,9605.5,2013,22191.0,25384.0,Associates,Private for-profit,medium,high,med,0.5281,0.6333,0.6579
7580,Other,gwinnett college-sandy springs,Sandy Springs,1,1,1,3,5.0,,108.0,True,9456.0,3850.0,,0.42979999999999996,0.3538,0.8148,0.56462585034,0.21094177345850001,0.0,9500.0,2013,16166.0,18636.0,Certificate,Private for-profit,small,high,med,0.6346,0.6818,0.84
3326,Other,gwinnett technical college,Lawrenceville,1,1,2,1,5.0,,6918.0,True,2356.0,4907.0,5974.0,0.475,0.41100000000000003,0.5879,0.0996921939175,0.033107377935,0.0,5769.0,2013,6336.0,11417.0,Certificate,Public,xl,low,med,0.1823,0.5473,0.5275
5679,Other,gwynedd mercy university,Gwynedd Valley,1,3,4,2,2.0,0.6591,2031.0,True,15429.0,7436.0,7046.0,0.2358,0.7278,0.419,0.3835605580215,0.193277310924,0.0234227067485,20250.0,2013,23673.0,39051.0,Bachelor,Private nonprofit,xl,highest,high,0.6598,0.8222,
2451,Other,h councill trenholm state technical college,Montgomery,1,1,2,1,5.0,,1262.0,True,2371.0,8051.0,6058.0,0.6636,0.0,0.456,0.0996921939175,0.033107377935,0.0,6917.75,2013,6067.0,9955.0,Certificate,Public,large,low,high,0.3273,0.4979,0.4045
7155,Other,hacienda la puente adult education,La Puente,1,1,1,1,8.0,,3704.0,True,245.0,1776.0,,0.475,0.0,0.6745,0.0996921939175,0.033107377935,0.0,6917.75,2013,7080.0,10774.0,Certificate,Public,xl,low,low,0.7979,0.151,0.297
3999,Other,hagerstown community college,Hagerstown,1,2,2,1,2.0,,3997.0,True,4943.0,5553.0,5667.0,1.0,0.3307,0.3592,0.115118956255,0.289032258065,0.037419354839,5500.0,2013,6771.0,9809.0,Associates,Public,xl,med,med,0.2179,0.5416,0.4076
9300,Other,hair academy,Montgomery,1,1,1,3,5.0,,13.0,True,5974.0,685.0,,0.42979999999999996,0.0,0.6154,0.56462585034,0.21094177345850001,0.0,9500.0,2013,10403.0,13072.0,Certificate,Private for-profit,small,med,low,0.75,1.0,
8366,Other,hair academy 110,Kirksville,1,1,1,3,4.0,,20.0,True,8153.0,5929.0,,0.42979999999999996,0.7407,0.2,0.56462585034,0.21094177345850001,0.0,9500.0,2013,7716.0,10954.0,Certificate,Private for-profit,small,high,med,0.7895,0.7778,
